t,cycle,arm,scenario,seed,route,action,wp_index,dist_to_wp_m,degraded,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,yaw_deg,has_collided,collision_object,min_obstacle_dist_m,latency_ms_json,slm_invoked,slm_latency_ms,slm_fallback,slm_timeout,slm_adherent,slm_prompt,slm_raw_response,slm_delib_id,slm_frame_paths,field_izquierda_occ,field_izquierda_ttc_s,field_izquierda_conf,field_izquierda_blocked,field_centro_occ,field_centro_ttc_s,field_centro_conf,field_centro_blocked,field_derecha_occ,field_derecha_ttc_s,field_derecha_conf,field_derecha_blocked
0.085,1,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,30.332808554172516,False,0.0,0.0,0.3330441117286682,,,,-60.0,False,,,"{""telemetry"": 0.7, ""graph"": 83.8}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
0.361,2,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,30.33500385284424,False,0.0007144275004975498,-0.0012374244397506118,0.33182165026664734,,,,-60.0,False,,,"{""telemetry"": 1.1, ""graph"": 158.8}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
0.601,3,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,30.27063519376385,False,0.035505522042512894,-0.06149730831384659,0.17209041118621826,,,,-60.0,False,,,"{""telemetry"": 1.4, ""graph"": 197.6}",False,,,,,,,,,0.0,,0.137,False,0.0,,0.137,False,0.0,,0.137,False
0.754,4,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,30.014699164273758,False,0.1214756965637207,-0.21040181815624237,-0.08064881712198257,,,,-60.0,False,,,"{""telemetry"": 0.8, ""graph"": 149.5}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
1.0,5,slm,TOWNSIM_INI,1,girar_90,GIRAR_90,0,29.754953091679738,False,0.2764253318309784,-0.4787823259830475,-0.35935088992118835,,,,-60.0,False,,,"{""telemetry"": 1.5, ""graph"": 194.5}",False,,,,,,,,,0.047,0.56,0.49,True,0.081,0.17,0.49,True,0.025,0.54,0.49,True
1.177,6,slm,TOWNSIM_INI,1,girar_90,GIRAR_90,0,29.532233938629766,False,0.43757131695747375,-0.757895290851593,-0.5531368851661682,,,,-59.86,False,,,"{""telemetry"": 1.7, ""graph"": 171.4}",False,,,,,,,,,0.07,0.76,0.461,True,0.072,0.18,0.461,True,0.065,0.45,0.461,True
1.359,7,slm,TOWNSIM_INI,1,evasive,GIRAR_90,0,29.405536537415667,False,0.6163764595985413,-1.0676525831222534,-0.6265861392021179,,,,-58.04,False,,,"{""telemetry"": 1.2, ""graph"": 153.3}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
1.519,8,slm,TOWNSIM_INI,1,evasive,GIRAR_90,0,29.388920988424328,False,0.7868889570236206,-1.3633393049240112,-0.6611233353614807,,,,-54.75,False,,,"{""telemetry"": 2.3, ""graph"": 111.5}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
1.714,9,slm,TOWNSIM_INI,1,evasive,GIRAR_90,0,29.373241319704633,False,0.9078966975212097,-1.5734484195709229,-0.6868844628334045,,,,-51.74,False,,,"{""telemetry"": 0.8, ""graph"": 107.9}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
1.908,10,slm,TOWNSIM_INI,1,evasive,GIRAR_90,0,29.366983170796786,False,1.001652717590332,-1.7364147901535034,-0.7014121413230896,,,,-48.79,False,,,"{""telemetry"": 0.9, ""graph"": 101.1}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
2.112,11,slm,TOWNSIM_INI,1,evasive,GIRAR_90,0,29.369319307149368,False,1.0752588510513306,-1.8644585609436035,-0.7071185111999512,,,,-45.78,False,,,"{""telemetry"": 1.0, ""graph"": 104.6}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
2.316,12,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,29.376534810857176,False,1.1313737630844116,-1.9621131420135498,-0.7072199583053589,,,,-42.74,False,,,"{""telemetry"": 0.9, ""graph"": 107.6}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
2.53,13,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,29.385629011722383,False,1.1749590635299683,-2.0379374027252197,-0.7004671692848206,,,,-39.36,False,,,"{""telemetry"": 0.6, ""graph"": 121.3}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
2.719,14,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,29.402378603742925,False,1.2036832571029663,-2.0871787071228027,-0.6905674934387207,,,,-34.03,False,,,"{""telemetry"": 0.7, ""graph"": 110.2}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
2.936,15,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,29.41460502851028,False,1.2291908264160156,-2.1270101070404053,-0.6838899850845337,,,,-25.86,False,,,"{""telemetry"": 0.7, ""graph"": 127.0}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
3.132,16,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,29.4216516646808,False,1.245894432067871,-2.1468963623046875,-0.6812882423400879,,,,-17.81,False,,,"{""telemetry"": 2.5, ""graph"": 120.9}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
3.334,17,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,29.42475174243851,False,1.2574639320373535,-2.153087854385376,-0.6806002855300903,,,,-9.17,False,,,"{""telemetry"": 0.8, ""graph"": 124.3}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
3.536,18,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,29.425122200466166,False,1.2627047300338745,-2.1466257572174072,-0.6811127066612244,,,,-0.39,False,,,"{""telemetry"": 0.9, ""graph"": 126.1}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
3.732,19,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,29.423460377386267,False,1.2611334323883057,-2.1313211917877197,-0.6823022961616516,,,,8.07,False,,,"{""telemetry"": 1.2, ""graph"": 121.1}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
3.928,20,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,29.42046054625412,False,1.2532660961151123,-2.1105592250823975,-0.6817432045936584,,,,16.07,False,,,"{""telemetry"": 1.4, ""graph"": 116.8}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
4.113,21,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,29.421841093810727,False,1.243220567703247,-2.0901057720184326,-0.6781644225120544,,,,23.3,False,,,"{""telemetry"": 0.9, ""graph"": 102.1}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
4.329,22,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,29.423329850208265,False,1.2331122159957886,-2.0707290172576904,-0.6748711466789246,,,,30.61,False,,,"{""telemetry"": 0.7, ""graph"": 118.2}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
4.512,23,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,29.424584489706493,False,1.2265524864196777,-2.0582001209259033,-0.6726296544075012,,,,36.33,False,,,"{""telemetry"": 0.8, ""graph"": 100.8}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
4.723,24,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,29.425798140156864,False,1.2209607362747192,-2.0472655296325684,-0.6703477501869202,,,,42.34,False,,,"{""telemetry"": 0.9, ""graph"": 111.2}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
